Is_3D_Phase,Iteration,Envelope_Compliance_Nm,Max_Delta_Rho,Compute_Time_sec,Peak_VRAM_GB
0,46,0.8218498336521358,0.07180453145719368,0.10239958763122559,1.9587960243225098
0,47,0.8270748110336243,0.07303944891629988,0.1602168083190918,1.9587960243225098
0,48,0.8303830302239963,0.08210678441100083,0.12168622016906738,1.9587960243225098
0,49,0.8336895903404372,0.09866902126873744,0.12346386909484863,1.9587960243225098
0,50,0.837341698802833,0.10971570299488365,0.15418338775634766,1.9587960243225098
0,51,0.8391954952487592,0.125,0.11061811447143555,1.9587960243225098
0,52,0.8407710866950557,0.12350000000000001,0.12317109107971191,1.9587960243225098
0,53,0.8415790422245055,0.12200000000000001,0.12869906425476074,1.9587960243225098
0,54,0.8418963698949835,0.12050000000000005,0.08038663864135742,1.9587960243225098
0,55,0.8446887210996096,0.10589672891595348,0.15227603912353516,1.9587960243225098
0,56,0.8461575380643387,0.11750000000000005,0.0837242603302002,1.9587960243225098
0,57,0.848305518282399,0.08948495245312915,0.10756611824035645,1.9587960243225098
0,58,0.8509330297351494,0.0966615231930592,0.14699816703796387,1.9587960243225098
0,59,0.8523394299972566,0.10303734913061269,0.08830475807189941,1.9587960243225098
0,60,0.8544486358845501,0.11150000000000004,0.10072064399719238,1.9587960243225098
0,61,0.8566379216851066,0.10999999999999999,0.14784002304077148,1.9587960243225098
0,62,0.859445898121433,0.08200124445533807,0.13213849067687988,1.9587960243225098
0,63,0.8609347521794111,0.08427018768044925,0.08830809593200684,1.9587960243225098
0,64,0.864892030910516,0.09531093190562268,0.20511126518249512,1.9587960243225098
0,65,0.8658299616006613,0.1036569885813543,0.07536697387695312,1.9587960243225098
0,66,0.867431343254036,0.10250000000000004,0.08834576606750488,1.9587960243225098
0,67,0.8707567056944139,0.10099999999999998,0.1544017791748047,1.9587960243225098
0,68,0.8714267430903625,0.09950000000000003,0.06856536865234375,1.9587960243225098
0,69,0.8747705293667576,0.09799999999999998,0.15941762924194336,1.9587960243225098
0,70,0.875381939256348,0.09650000000000003,0.07567620277404785,1.9587960243225098
0,71,0.8786439949075577,0.0886241723117075,0.17067670822143555,1.9587960243225098
0,72,0.8801863954984945,0.09350000000000003,0.09887242317199707,1.9587960243225098
0,73,0.8811143209961845,0.09199999999999997,0.07870030403137207,1.9587960243225098
0,74,0.8835846785232522,0.09050000000000002,0.1517472267150879,1.9587960243225098
0,75,0.8863487586265659,0.08899999999999997,0.17049837112426758,1.9587960243225098
0,76,0.8874307172933427,0.08750000000000002,0.08469772338867188,1.9587960243225098
0,77,0.8882165121095174,0.08599999999999997,0.07878279685974121,1.9587960243225098
0,78,0.8907451757186929,0.08450000000000002,0.15000295639038086,1.9587960243225098
0,79,0.8931616232840465,0.08300000000000007,0.15760111808776855,1.9587960243225098
